support,confidence,lift,artistID1,artistID2,artistID3
0.089041096,0.795918367,1.854320452,00FQb4jTyendYWaN8pK0wa,2YZyLoL8N0Wb9xBt1NhZWg,5pKCCKE2ajJHZ9KAiaK11H
0.089041096,0.590909091,1.737034777,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,2YZyLoL8N0Wb9xBt1NhZWg
0.089041096,0.450867052,2.004870749,5pKCCKE2ajJHZ9KAiaK11H,2YZyLoL8N0Wb9xBt1NhZWg,00FQb4jTyendYWaN8pK0wa
0.081050228,0.855421687,1.763175053,00FQb4jTyendYWaN8pK0wa,2h93pZq0e7k5yf4dywlkpM,3TVXtAsR1Inumwj472S9r4
0.081050228,0.5546875,2.270589953,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,2h93pZq0e7k5yf4dywlkpM
0.081050228,0.417647059,1.857151388,2h93pZq0e7k5yf4dywlkpM,3TVXtAsR1Inumwj472S9r4,00FQb4jTyendYWaN8pK0wa
0.082191781,0.765957447,1.578773467,00FQb4jTyendYWaN8pK0wa,31TPClRtHm23RisEBtV3X7,3TVXtAsR1Inumwj472S9r4
0.082191781,0.5625,1.971,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,31TPClRtHm23RisEBtV3X7
0.082191781,0.418604651,1.861409515,3TVXtAsR1Inumwj472S9r4,31TPClRtHm23RisEBtV3X7,00FQb4jTyendYWaN8pK0wa
0.085616438,0.79787234,1.858872793,00FQb4jTyendYWaN8pK0wa,31TPClRtHm23RisEBtV3X7,5pKCCKE2ajJHZ9KAiaK11H
0.085616438,0.568181818,1.990909091,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,31TPClRtHm23RisEBtV3X7
0.085616438,0.431034483,1.916681253,5pKCCKE2ajJHZ9KAiaK11H,31TPClRtHm23RisEBtV3X7,00FQb4jTyendYWaN8pK0wa
0.099315068,0.6796875,1.701160714,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,5K4W6rqBFWDnAN6FQUkS6x
