support,confidence,lift,trackID1,trackID2,trackID3
0.028538813,0.757575758,10.87928465,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,3y3brCCecHC3Db18aIOnny
0.028538813,0.806451613,13.08243728,3y3brCCecHC3Db18aIOnny,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.028538813,0.806451613,12.18020022,11cDEev79fPKi6uJCjUhu8,3y3brCCecHC3Db18aIOnny,09oZ9eXQ2fo6YDrPzJqAoP
0.026255708,0.696969697,9.393006993,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,4Sib57MmYGJzSvkW84jTwh
0.026255708,0.793103448,12.86590038,4Sib57MmYGJzSvkW84jTwh,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.026255708,0.741935484,11.2057842,4Sib57MmYGJzSvkW84jTwh,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP
0.03196347,0.848484848,9.17620651,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,4y3OI86AEP6PQoDE6olYhO
0.03196347,0.756756757,12.27627628,4y3OI86AEP6PQoDE6olYhO,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.03196347,0.736842105,11.12885662,4y3OI86AEP6PQoDE6olYhO,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP
0.033105023,0.878787879,13.27272727,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,5KawlOMHjWeUjQtnuRs22c
0.033105023,0.783783784,12.71471471,5KawlOMHjWeUjQtnuRs22c,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.033105023,0.828571429,12.51428571,5KawlOMHjWeUjQtnuRs22c,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP
0.026255708,0.696969697,9.539772727,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,5WHTFyqSii0lmT9R21abT8
0.026255708,0.766666667,12.43703704,5WHTFyqSii0lmT9R21abT8,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.026255708,0.793103448,11.97859691,5WHTFyqSii0lmT9R21abT8,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP
0.030821918,0.818181818,8.635268346,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,5icOoE6VgqFKohjWWNp0Ac
0.030821918,0.75,12.16666667,5icOoE6VgqFKohjWWNp0Ac,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.030821918,0.794117647,11.99391481,11cDEev79fPKi6uJCjUhu8,5icOoE6VgqFKohjWWNp0Ac,09oZ9eXQ2fo6YDrPzJqAoP
0.029680365,0.787878788,8.025369979,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,6nDKrPlXdpomGBgAlO7UdP
0.029680365,0.702702703,11.3993994,6nDKrPlXdpomGBgAlO7UdP,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.029680365,0.787878788,11.89968652,6nDKrPlXdpomGBgAlO7UdP,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP
0.033105023,0.878787879,9.622727273,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,6u7jPi22kF8CTQ3rb9DHE7
0.033105023,0.743589744,12.06267806,6u7jPi22kF8CTQ3rb9DHE7,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.033105023,0.852941176,12.88235294,6u7jPi22kF8CTQ3rb9DHE7,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP
0.028538813,0.757575758,9.217171717,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,7COXchtUOMd6uIT6HvmRaI
0.028538813,0.78125,12.67361111,7COXchtUOMd6uIT6HvmRaI,09oZ9eXQ2fo6YDrPzJqAoP,11cDEev79fPKi6uJCjUhu8
0.028538813,0.757575758,11.44200627,11cDEev79fPKi6uJCjUhu8,7COXchtUOMd6uIT6HvmRaI,09oZ9eXQ2fo6YDrPzJqAoP
0.029680365,0.787878788,19.17171717,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,7DHApOHsIFo7EyfieArYGE
0.029680365,0.896551724,14.5440613,09oZ9eXQ2fo6YDrPzJqAoP,7DHApOHsIFo7EyfieArYGE,11cDEev79fPKi6uJCjUhu8
0.029680365,0.866666667,13.08965517,11cDEev79fPKi6uJCjUhu8,7DHApOHsIFo7EyfieArYGE,09oZ9eXQ2fo6YDrPzJqAoP
0.026255708,0.696969697,15.65501166,11cDEev79fPKi6uJCjUhu8,09oZ9eXQ2fo6YDrPzJqAoP,7njKgVl3AnLflRad38o7AG
0.026255708,0.821428571,13.32539683,09oZ9eXQ2fo6YDrPzJqAoP,7njKgVl3AnLflRad38o7AG,11cDEev79fPKi6uJCjUhu8
0.026255708,0.884615385,13.36074271,11cDEev79fPKi6uJCjUhu8,7njKgVl3AnLflRad38o7AG,09oZ9eXQ2fo6YDrPzJqAoP
0.026255708,0.92,10.074,18PergoIrGmRyeYxnaXJN2,09oZ9eXQ2fo6YDrPzJqAoP,6u7jPi22kF8CTQ3rb9DHE7
0.026255708,0.58974359,14.35042735,6u7jPi22kF8CTQ3rb9DHE7,09oZ9eXQ2fo6YDrPzJqAoP,18PergoIrGmRyeYxnaXJN2
0.026255708,0.958333333,14.47413793,6u7jPi22kF8CTQ3rb9DHE7,18PergoIrGmRyeYxnaXJN2,09oZ9eXQ2fo6YDrPzJqAoP
0.02739726,0.857142857,12.30913349,09oZ9eXQ2fo6YDrPzJqAoP,1tNJrcVe6gwLEiZCtprs1u,35RDmXJ59YYGNlv1KfTGsP
0.02739726,0.666666667,11.45098039,35RDmXJ59YYGNlv1KfTGsP,09oZ9eXQ2fo6YDrPzJqAoP,1tNJrcVe6gwLEiZCtprs1u
0.02739726,0.888888889,13.42528736,35RDmXJ59YYGNlv1KfTGsP,1tNJrcVe6gwLEiZCtprs1u,09oZ9eXQ2fo6YDrPzJqAoP
0.029680365,0.928571429,13.33489461,09oZ9eXQ2fo6YDrPzJqAoP,1tNJrcVe6gwLEiZCtprs1u,3y3brCCecHC3Db18aIOnny
0.029680365,0.838709677,14.40607211,3y3brCCecHC3Db18aIOnny,09oZ9eXQ2fo6YDrPzJqAoP,1tNJrcVe6gwLEiZCtprs1u
0.029680365,0.866666667,13.08965517,3y3brCCecHC3Db18aIOnny,1tNJrcVe6gwLEiZCtprs1u,09oZ9eXQ2fo6YDrPzJqAoP
0.028538813,0.892857143,13.48522167,09oZ9eXQ2fo6YDrPzJqAoP,1tNJrcVe6gwLEiZCtprs1u,5KawlOMHjWeUjQtnuRs22c
