support,confidence,lift,trackID1,trackID2
0.023972603,0.525,9.58125,01DOm09B2AbiTARAbXVI6g,2t8yVaLvJ0RenpXUIAC52d
0.023972603,0.4375,9.58125,2t8yVaLvJ0RenpXUIAC52d,01DOm09B2AbiTARAbXVI6g
0.01826484,0.4,3.244444444,01DOm09B2AbiTARAbXVI6g,2xLMifQCjDGFmkHkpNLD9h
0.017123288,0.375,6.989361702,01DOm09B2AbiTARAbXVI6g,31UjYv5vLsDkzchJOtUMtW
0.017123288,0.319148936,6.989361702,31UjYv5vLsDkzchJOtUMtW,01DOm09B2AbiTARAbXVI6g
0.021689498,0.475,6.821311475,01DOm09B2AbiTARAbXVI6g,35RDmXJ59YYGNlv1KfTGsP
0.021689498,0.31147541,6.821311475,35RDmXJ59YYGNlv1KfTGsP,01DOm09B2AbiTARAbXVI6g
0.01369863,0.3,12.51428571,01DOm09B2AbiTARAbXVI6g,38Vjqr7xTeIzDpclKOkzli
0.01369863,0.571428571,12.51428571,38Vjqr7xTeIzDpclKOkzli,01DOm09B2AbiTARAbXVI6g
0.020547945,0.45,15.768,01DOm09B2AbiTARAbXVI6g,3BXXkwyhsHM0EPApHMhQC5
0.020547945,0.72,15.768,3BXXkwyhsHM0EPApHMhQC5,01DOm09B2AbiTARAbXVI6g
0.010273973,0.225,4.479545455,01DOm09B2AbiTARAbXVI6g,3EPXxR3ImUwfayaurPi3cm
0.010273973,0.204545455,4.479545455,3EPXxR3ImUwfayaurPi3cm,01DOm09B2AbiTARAbXVI6g
0.015981735,0.35,19.1625,01DOm09B2AbiTARAbXVI6g,3FUXVbi9ugVUqJ3rPrfd2G
0.015981735,0.875,19.1625,3FUXVbi9ugVUqJ3rPrfd2G,01DOm09B2AbiTARAbXVI6g
0.029680365,0.65,16.74705882,01DOm09B2AbiTARAbXVI6g,3IKRHd9ihUdGffgz4Mbgv0
0.029680365,0.764705882,16.74705882,3IKRHd9ihUdGffgz4Mbgv0,01DOm09B2AbiTARAbXVI6g
0.01826484,0.4,8.148837209,01DOm09B2AbiTARAbXVI6g,3QmolSZqjjLksTUvZJ6pPS
0.01826484,0.372093023,8.148837209,3QmolSZqjjLksTUvZJ6pPS,01DOm09B2AbiTARAbXVI6g
0.02283105,0.5,11.83783784,01DOm09B2AbiTARAbXVI6g,3WRIaWsws011vHMd9uzPjG
0.02283105,0.540540541,11.83783784,3WRIaWsws011vHMd9uzPjG,01DOm09B2AbiTARAbXVI6g
0.021689498,0.475,18.09130435,01DOm09B2AbiTARAbXVI6g,3WyRgi8CzQnhzO0xw79tTS
0.021689498,0.826086957,18.09130435,3WyRgi8CzQnhzO0xw79tTS,01DOm09B2AbiTARAbXVI6g
0.035388128,0.775,13.31176471,01DOm09B2AbiTARAbXVI6g,3XiNC94b4Tq1xwv70sQJGN
0.035388128,0.607843137,13.31176471,3XiNC94b4Tq1xwv70sQJGN,01DOm09B2AbiTARAbXVI6g
0.019406393,0.425,10.63714286,01DOm09B2AbiTARAbXVI6g,3Y7a0typ6ik1KscmebXd6D
0.019406393,0.485714286,10.63714286,3Y7a0typ6ik1KscmebXd6D,01DOm09B2AbiTARAbXVI6g
0.017123288,0.375,19.32352941,01DOm09B2AbiTARAbXVI6g,3YEbLhXRDPTtctnb3ddg8g
0.017123288,0.882352941,19.32352941,3YEbLhXRDPTtctnb3ddg8g,01DOm09B2AbiTARAbXVI6g
0.020547945,0.45,15.768,01DOm09B2AbiTARAbXVI6g,3hhs1XHsWvbH0mP9D1BT2Z
0.020547945,0.72,15.768,3hhs1XHsWvbH0mP9D1BT2Z,01DOm09B2AbiTARAbXVI6g
0.017123288,0.375,14.2826087,01DOm09B2AbiTARAbXVI6g,3npzogdOEiVsieXmmhBepL
0.017123288,0.652173913,14.2826087,3npzogdOEiVsieXmmhBepL,01DOm09B2AbiTARAbXVI6g
0.021689498,0.475,9.246666667,01DOm09B2AbiTARAbXVI6g,3oh6SCCeLuXhFpEyepla6G
0.021689498,0.422222222,9.246666667,3oh6SCCeLuXhFpEyepla6G,01DOm09B2AbiTARAbXVI6g
0.017123288,0.375,19.32352941,01DOm09B2AbiTARAbXVI6g,3wLtYwtqvKK2ewelSVPeDK
0.017123288,0.882352941,19.32352941,3wLtYwtqvKK2ewelSVPeDK,01DOm09B2AbiTARAbXVI6g
0.020547945,0.45,6.462295082,01DOm09B2AbiTARAbXVI6g,3y3brCCecHC3Db18aIOnny
0.020547945,0.295081967,6.462295082,3y3brCCecHC3Db18aIOnny,01DOm09B2AbiTARAbXVI6g
0.026255708,0.575,13.61351351,01DOm09B2AbiTARAbXVI6g,40Zb4FZ6nS1Hj8RVfaLkCV
0.026255708,0.621621622,13.61351351,40Zb4FZ6nS1Hj8RVfaLkCV,01DOm09B2AbiTARAbXVI6g
0.01826484,0.4,12.97777778,01DOm09B2AbiTARAbXVI6g,44ShclXTOOnYtt5CnCDeGV
0.01826484,0.592592593,12.97777778,44ShclXTOOnYtt5CnCDeGV,01DOm09B2AbiTARAbXVI6g
0.012557078,0.275,3.7640625,01DOm09B2AbiTARAbXVI6g,45Egmo7icyopuzJN0oMEdk
0.012557078,0.171875,3.7640625,45Egmo7icyopuzJN0oMEdk,01DOm09B2AbiTARAbXVI6g
0.01826484,0.4,11.68,01DOm09B2AbiTARAbXVI6g,45ZGEdLxCZvdMX9jWlsAAx
0.01826484,0.533333333,11.68,45ZGEdLxCZvdMX9jWlsAAx,01DOm09B2AbiTARAbXVI6g
0.019406393,0.425,16.92272727,01DOm09B2AbiTARAbXVI6g,4EnEGf9JzAJhF1XNY9DJcD
0.019406393,0.772727273,16.92272727,4EnEGf9JzAJhF1XNY9DJcD,01DOm09B2AbiTARAbXVI6g
0.017123288,0.375,18.25,01DOm09B2AbiTARAbXVI6g,4Fvtl6P5d8h2lzzwhUCHHD
0.017123288,0.833333333,18.25,4Fvtl6P5d8h2lzzwhUCHHD,01DOm09B2AbiTARAbXVI6g
0.021689498,0.475,17.3375,01DOm09B2AbiTARAbXVI6g,4KXDT3pmPDB9IB6hTUoGpd
0.021689498,0.791666667,17.3375,4KXDT3pmPDB9IB6hTUoGpd,01DOm09B2AbiTARAbXVI6g
0.023972603,0.525,14.371875,01DOm09B2AbiTARAbXVI6g,4NN6N5TxBO5k9uqu0W4gfQ
0.023972603,0.65625,14.371875,4NN6N5TxBO5k9uqu0W4gfQ,01DOm09B2AbiTARAbXVI6g
0.020547945,0.45,7.884,01DOm09B2AbiTARAbXVI6g,4NSW0Km5ZG60L8FthUebPJ
0.020547945,0.36,7.884,4NSW0Km5ZG60L8FthUebPJ,01DOm09B2AbiTARAbXVI6g
0.01826484,0.4,7.786666667,01DOm09B2AbiTARAbXVI6g,4PkIDTPGedm0enzdvilLNd
0.01826484,0.355555556,7.786666667,4PkIDTPGedm0enzdvilLNd,01DOm09B2AbiTARAbXVI6g
0.023972603,0.525,10.69534884,01DOm09B2AbiTARAbXVI6g,4Q8aDd3H6LF8t4eY7So9O8
0.023972603,0.488372093,10.69534884,4Q8aDd3H6LF8t4eY7So9O8,01DOm09B2AbiTARAbXVI6g
0.015981735,0.35,8.76,01DOm09B2AbiTARAbXVI6g,4SHhui9S7lFYGHXikfneGo
0.015981735,0.4,8.76,4SHhui9S7lFYGHXikfneGo,01DOm09B2AbiTARAbXVI6g
0.019406393,0.425,5.727692308,01DOm09B2AbiTARAbXVI6g,4Sib57MmYGJzSvkW84jTwh
0.019406393,0.261538462,5.727692308,4Sib57MmYGJzSvkW84jTwh,01DOm09B2AbiTARAbXVI6g
0.020547945,0.45,11.26285714,01DOm09B2AbiTARAbXVI6g,4WzhjxvLP95y7AMDy0Atwb
0.020547945,0.514285714,11.26285714,4WzhjxvLP95y7AMDy0Atwb,01DOm09B2AbiTARAbXVI6g
